gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut
90,Guatemala,1946,1954,Maya,2000,9002000,,0.515,POWERLESS,false
90,Guatemala,1946,1954,Ladinos,1000,9001000,,0.48,MONOPOLY,
90,Guatemala,1946,1954,Xinca,4000,9004000,,0.003,IRRELEVANT,
90,Guatemala,1946,1954,Garífuna,3000,9003000,,0.002,IRRELEVANT,
90,Guatemala,1955,1995,Maya,2000,9002000,,0.515,DISCRIMINATED,false
90,Guatemala,1955,1995,Ladinos,1000,9001000,,0.48,MONOPOLY,
90,Guatemala,1955,1995,Xinca,4000,9004000,,0.003,IRRELEVANT,
90,Guatemala,1955,1995,Garífuna,3000,9003000,,0.002,IRRELEVANT,
90,Guatemala,1996,2013,Maya,2000,9002000,,0.515,POWERLESS,false
90,Guatemala,1996,2013,Ladinos,1000,9001000,,0.48,DOMINANT,
90,Guatemala,1996,2013,Xinca,4000,9004000,,0.003,POWERLESS,false
90,Guatemala,1996,2013,Garífuna,3000,9003000,,0.002,POWERLESS,false
91,Honduras,1946,1974,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,
91,Honduras,1946,1974,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.07,IRRELEVANT,
91,Honduras,1946,1974,Garifuna,10000,9110000,,0.016,DISCRIMINATED,false
91,Honduras,1975,1989,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,
91,Honduras,1975,1989,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.07,POWERLESS,false
91,Honduras,1975,1989,Garifuna,10000,9110000,,0.016,DISCRIMINATED,false
91,Honduras,1990,2013,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,
91,Honduras,1990,2013,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.07,POWERLESS,false
91,Honduras,1990,2013,Garifuna,10000,9110000,,0.016,POWERLESS,false
92,El Salvador,1946,1994,Whites/mestizos,1000,9201000,,0.9,MONOPOLY,
92,El Salvador,1946,1994,Indigenous peoples,2000,9202000,,0.1,DISCRIMINATED,false
92,El Salvador,1995,2013,Whites/mestizos,1000,9201000,,0.9,MONOPOLY,
92,El Salvador,1995,2013,Indigenous peoples,2000,9202000,,0.1,POWERLESS,false
93,Nicaragua,1946,1987,Whites/mestizos,1000,9301000,,0.86,MONOPOLY,
93,Nicaragua,1946,1987,Afronicaraguans,2000,9302000,,0.09,POWERLESS,false
93,Nicaragua,1946,1987,Miskitos,3000,9303000,,0.035,POWERLESS,false
93,Nicaragua,1946,1987,Sumus,5000,9305000,,0.002,POWERLESS,false
93,Nicaragua,1988,2013,Whites/mestizos,1000,9301000,,0.86,DOMINANT,
93,Nicaragua,1988,2013,Afronicaraguans,2000,9302000,,0.09,POWERLESS,false
93,Nicaragua,1988,2013,Miskitos,3000,9303000,,0.035,POWERLESS,false
93,Nicaragua,1988,2013,Sumus,5000,9305000,,0.002,POWERLESS,false
94,Costa Rica,1946,1953,Whites/mestizos,1000,9401000,,0.937,MONOPOLY,
94,Costa Rica,1946,1953,Afro-Costa Ricans,2000,9402000,,0.019,DISCRIMINATED,false
94,Costa Rica,1946,1953,Indigenous peoples,3000,9403000,,0.017,DISCRIMINATED,false
94,Costa Rica,1954,1991,Whites/mestizos,1000,9401000,,0.937,DOMINANT,
94,Costa Rica,1954,1991,Afro-Costa Ricans,2000,9402000,,0.019,POWERLESS,false
94,Costa Rica,1954,1991,Indigenous peoples,3000,9403000,,0.017,DISCRIMINATED,false
94,Costa Rica,1992,2013,Whites/mestizos,1000,9401000,,0.937,DOMINANT,
94,Costa Rica,1992,2013,Afro-Costa Ricans,2000,9402000,,0.019,POWERLESS,false
94,Costa Rica,1992,2013,Indigenous peoples,3000,9403000,,0.017,POWERLESS,false
95,Panama,1946,1959,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,
95,Panama,1946,1959,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1946,1959,Ngobe-Bugle,3000,9503000,,0.04,IRRELEVANT,
95,Panama,1946,1959,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1946,1959,Choco (Embera-Wounan),5000,9505000,,0.003,IRRELEVANT,
95,Panama,1960,1983,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,
95,Panama,1960,1983,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1960,1983,Ngobe-Bugle,3000,9503000,,0.04,POWERLESS,false
95,Panama,1960,1983,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1960,1983,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,false
95,Panama,1984,1997,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,
95,Panama,1984,1997,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1984,1997,Ngobe-Bugle,3000,9503000,,0.04,POWERLESS,false
95,Panama,1984,1997,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1984,1997,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,true
95,Panama,1998,2013,Whites/mestizos,1000,9501000,,0.8,DOMINANT,
95,Panama,1998,2013,Afropanamanians,2000,9502000,,0.14,POWERLESS,false
95,Panama,1998,2013,Ngobe-Bugle,3000,9503000,,0.04,POWERLESS,true
95,Panama,1998,2013,Kuna,4000,9504000,,0.015,POWERLESS,true
95,Panama,1998,2013,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,true
100,Colombia,1946,1979,Whites/mestizos,1000,10001000,,0.73,MONOPOLY,
100,Colombia,1946,1979,Afrocolumbians,2000,10002000,,0.23,IRRELEVANT,
100,Colombia,1946,1979,Indigenous peoples,3000,10003000,,0.034,DISCRIMINATED,false
100,Colombia,1980,1991,Whites/mestizos,1000,10001000,,0.73,MONOPOLY,
100,Colombia,1980,1991,Afrocolumbians,2000,10002000,,0.23,POWERLESS,false
100,Colombia,1980,1991,Indigenous peoples,3000,10003000,,0.034,DISCRIMINATED,false
100,Colombia,1992,2013,Whites/mestizos,1000,10001000,,0.73,DOMINANT,
100,Colombia,1992,2013,Afrocolumbians,2000,10002000,,0.23,POWERLESS,false
100,Colombia,1992,2013,Indigenous peoples,3000,10003000,,0.034,POWERLESS,true
101,Venezuela,1946,1972,Whites/mestizos,1000,10101000,,0.848,IRRELEVANT,
101,Venezuela,1946,1972,Afrovenezuelans,2000,10102000,,0.125,IRRELEVANT,
101,Venezuela,1946,1972,Indigenous peoples,3000,10103000,,0.027,IRRELEVANT,
101,Venezuela,1973,1999,Whites/mestizos,1000,10101000,,0.848,MONOPOLY,
101,Venezuela,1973,1999,Afrovenezuelans,2000,10102000,,0.125,IRRELEVANT,
101,Venezuela,1973,1999,Indigenous peoples,3000,10103000,,0.027,POWERLESS,false
101,Venezuela,2000,2013,Whites/mestizos,1000,10101000,,0.848,DOMINANT,
101,Venezuela,2000,2013,Afrovenezuelans,2000,10102000,,0.125,POWERLESS,false
101,Venezuela,2000,2013,Indigenous peoples,3000,10103000,,0.027,POWERLESS,true
110,Guyana,1966,1991,Indo-Guyanese,1000,11001000,,0.435,POWERLESS,false
110,Guyana,1966,1991,Afro-Guyanese,2000,11002000,,0.302,DOMINANT,
110,Guyana,1966,1991,Indigenous peoples,3000,11003000,,0.092,POWERLESS,false
110,Guyana,1992,2013,Indo-Guyanese,1000,11001000,,0.435,DOMINANT,
110,Guyana,1992,2013,Afro-Guyanese,2000,11002000,,0.302,POWERLESS,false
110,Guyana,1992,2013,Indigenous peoples,3000,11003000,,0.092,POWERLESS,false
130,Ecuador,1946,1979,Whites/mestizos,2000,13002000,,0.81,MONOPOLY,
130,Ecuador,1946,1979,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,DISCRIMINATED,false
130,Ecuador,1946,1979,Afro-Ecuadorians,5000,13005000,,0.05,DISCRIMINATED,false
130,Ecuador,1946,1979,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,DISCRIMINATED,false
130,Ecuador,1980,2000,Whites/mestizos,2000,13002000,,0.81,MONOPOLY,
130,Ecuador,1980,2000,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,POWERLESS,false
130,Ecuador,1980,2000,Afro-Ecuadorians,5000,13005000,,0.05,POWERLESS,false
130,Ecuador,1980,2000,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,POWERLESS,false
130,Ecuador,2001,2004,Whites/mestizos,2000,13002000,,0.81,DOMINANT,
130,Ecuador,2001,2004,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,POWERLESS,true
130,Ecuador,2001,2004,Afro-Ecuadorians,5000,13005000,,0.05,POWERLESS,false
130,Ecuador,2001,2004,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,POWERLESS,false
130,Ecuador,2005,2013,Whites/mestizos,2000,13002000,,0.81,DOMINANT,
130,Ecuador,2005,2013,Indigenous highland peoples (Kichwa),3000,13003000,,0.12,POWERLESS,true
130,Ecuador,2005,2013,Afro-Ecuadorians,5000,13005000,,0.05,POWERLESS,false
130,Ecuador,2005,2013,"Indigenous lowland peoples (Shuar, Achuar etc.)",4000,13004000,,0.02,POWERLESS,true
135,Peru,1946,1967,Whites/mestizos,2000,13502000,,0.52,MONOPOLY,
135,Peru,1946,1967,Indigenous peoples of the Andes,1000,13501000,,0.361,DISCRIMINATED,false
135,Peru,1946,1967,Afroperuvians,4000,13504000,,0.05,DISCRIMINATED,false
135,Peru,1946,1967,Indigenous peoples of the Amazon,5000,13505000,,0.012,DISCRIMINATED,false
135,Peru,1968,1979,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,1968,1979,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,false
135,Peru,1968,1979,Afroperuvians,4000,13504000,,0.05,IRRELEVANT,
135,Peru,1968,1979,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,false
135,Peru,1980,2002,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,1980,2002,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,false
135,Peru,1980,2002,Afroperuvians,4000,13504000,,0.05,POWERLESS,false
135,Peru,1980,2002,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,true
135,Peru,2003,2010,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,2003,2010,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,true
135,Peru,2003,2010,Afroperuvians,4000,13504000,,0.05,POWERLESS,false
135,Peru,2003,2010,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,true
135,Peru,2011,2013,Whites/mestizos,2000,13502000,,0.52,DOMINANT,
135,Peru,2011,2013,Indigenous peoples of the Andes,1000,13501000,,0.361,POWERLESS,false
135,Peru,2011,2013,Afroperuvians,4000,13504000,,0.05,POWERLESS,false
135,Peru,2011,2013,Indigenous peoples of the Amazon,5000,13505000,,0.012,POWERLESS,true
140,Brazil,1946,1977,Whites,1000,14001000,,0.54,IRRELEVANT,
140,Brazil,1946,1977,Afrobrazilians,2000,14002000,,0.45,IRRELEVANT,
140,Brazil,1946,1977,Indigenous peoples,3000,14003000,,0.004,IRRELEVANT,
140,Brazil,1978,2002,Whites,1000,14001000,,0.54,DOMINANT,
140,Brazil,1978,2002,Afrobrazilians,2000,14002000,,0.45,POWERLESS,false
140,Brazil,1978,2002,Indigenous peoples,3000,14003000,,0.004,POWERLESS,false
140,Brazil,2003,2010,Whites,1000,14001000,,0.54,SENIOR PARTNER,false
140,Brazil,2003,2010,Afrobrazilians,2000,14002000,,0.45,JUNIOR PARTNER,false
140,Brazil,2003,2010,Indigenous peoples,3000,14003000,,0.004,POWERLESS,false
140,Brazil,2011,2013,Afrobrazilians,2000,14002000,,0.507,POWERLESS,false
140,Brazil,2011,2013,Whites,1000,14001000,,0.477,DOMINANT,
140,Brazil,2011,2013,Indigenous peoples,3000,14003000,,0.004,POWERLESS,false
145,Bolivia,1946,1952,Whites/mestizos,4000,14504000,,0.41,MONOPOLY,
145,Bolivia,1946,1952,Quechua,3000,14503000,,0.31,DISCRIMINATED,false
145,Bolivia,1946,1952,Aymara,5000,14505000,,0.25,DISCRIMINATED,false
145,Bolivia,1946,1952,Guaraní and other eastern indigenous groups,6000,14506000,,0.03,DISCRIMINATED,false
145,Bolivia,1953,1981,Whites/mestizos,4000,14504000,,0.41,DOMINANT,
145,Bolivia,1953,1981,Quechua,3000,14503000,,0.31,POWERLESS,false
145,Bolivia,1953,1981,Aymara,5000,14505000,,0.25,POWERLESS,false
145,Bolivia,1953,1981,Guaraní and other eastern indigenous groups,6000,14506000,,0.03,IRRELEVANT,
145,Bolivia,1982,1992,Whites/mestizos,4000,14504000,,0.41,DOMINANT,
145,Bolivia,1982,1992,Quechua,3000,14503000,,0.31,POWERLESS,false
145,Bolivia,1982,1992,Aymara,5000,14505000,,0.25,POWERLESS,false
145,Bolivia,1982,1992,Guaraní and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,1993,1993,Whites/mestizos,4000,14504000,,0.41,SENIOR PARTNER,false
145,Bolivia,1993,1993,Quechua,3000,14503000,,0.31,POWERLESS,false
145,Bolivia,1993,1993,Aymara,5000,14505000,,0.25,JUNIOR PARTNER,false
145,Bolivia,1993,1993,Guaraní and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,1994,1997,Whites/mestizos,4000,14504000,,0.41,SENIOR PARTNER,true
145,Bolivia,1994,1997,Quechua,3000,14503000,,0.31,POWERLESS,true
145,Bolivia,1994,1997,Aymara,5000,14505000,,0.25,JUNIOR PARTNER,true
145,Bolivia,1994,1997,Guaraní and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,1998,2005,Whites/mestizos,4000,14504000,,0.41,DOMINANT,
145,Bolivia,1998,2005,Quechua,3000,14503000,,0.31,POWERLESS,true
145,Bolivia,1998,2005,Aymara,5000,14505000,,0.25,POWERLESS,true
145,Bolivia,1998,2005,Guaraní and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
145,Bolivia,2006,2013,Whites/mestizos,4000,14504000,,0.41,JUNIOR PARTNER,true
145,Bolivia,2006,2013,Quechua,3000,14503000,,0.31,JUNIOR PARTNER,true
145,Bolivia,2006,2013,Aymara,5000,14505000,,0.25,SENIOR PARTNER,true
145,Bolivia,2006,2013,Guaraní and other eastern indigenous groups,6000,14506000,,0.03,POWERLESS,false
150,Paraguay,1946,1992,Whites/mestizos,1000,15001000,,0.945,MONOPOLY,
150,Paraguay,1946,1992,Tupi-Guaraní and other indigenous groups,5000,15005000,,0.02,DISCRIMINATED,false
150,Paraguay,1993,2013,Whites/mestizos,1000,15001000,,0.945,MONOPOLY,
150,Paraguay,1993,2013,Tupi-Guaraní and other indigenous groups,5000,15005000,,0.02,POWERLESS,false
155,Chile,1946,1952,Whites/mestizos,1000,15501000,,0.92,MONOPOLY,
155,Chile,1946,1952,Mapuche,2000,15502000,,0.042,POWERLESS,false
155,Chile,1946,1952,Other indigenous groups,3000,15503000,,0.004,DISCRIMINATED,false
155,Chile,1953,1958,Whites/mestizos,1000,15501000,,0.92,DOMINANT,
155,Chile,1953,1958,Mapuche,2000,15502000,,0.042,POWERLESS,false
155,Chile,1953,1958,Other indigenous groups,3000,15503000,,0.004,DISCRIMINATED,false
155,Chile,1959,1973,Whites/mestizos,1000,15501000,,0.92,MONOPOLY,
155,Chile,1959,1973,Mapuche,2000,15502000,,0.042,POWERLESS,false
155,Chile,1959,1973,Other indigenous groups,3000,15503000,,0.004,DISCRIMINATED,false
155,Chile,1974,1990,Whites/mestizos,1000,15501000,,0.92,MONOPOLY,
155,Chile,1974,1990,Mapuche,2000,15502000,,0.042,DISCRIMINATED,false
155,Chile,1974,1990,Other indigenous groups,3000,15503000,,0.004,DISCRIMINATED,false
155,Chile,1991,2013,Whites/mestizos,1000,15501000,,0.92,MONOPOLY,
155,Chile,1991,2013,Mapuche,2000,15502000,,0.042,POWERLESS,false
155,Chile,1991,2013,Other indigenous groups,3000,15503000,,0.004,POWERLESS,false
160,Argentina,1946,1975,Whites/mestizos,1000,16001000,,0.97,MONOPOLY,
160,Argentina,1946,1975,Indigenous peoples,2000,16002000,,0.015,POWERLESS,false
160,Argentina,1976,1983,Whites/mestizos,1000,16001000,,0.97,MONOPOLY,
160,Argentina,1976,1983,Indigenous peoples,2000,16002000,,0.015,DISCRIMINATED,false
160,Argentina,1984,2013,Whites/mestizos,1000,16001000,,0.97,MONOPOLY,
160,Argentina,1984,2013,Indigenous peoples,2000,16002000,,0.015,POWERLESS,false
165,Uruguay,1946,1988,Whites/mestizos,1000,16501000,,0.908,IRRELEVANT,
165,Uruguay,1946,1988,Afro-Uruguayans,2000,16502000,,0.078,IRRELEVANT,
165,Uruguay,1989,2013,Whites/mestizos,1000,16501000,,0.908,MONOPOLY,
165,Uruguay,1989,2013,Afro-Uruguayans,2000,16502000,,0.078,POWERLESS,false
200,United Kingdom,1946,1963,English,1000,20001000,,0.815,SENIOR PARTNER,false
200,United Kingdom,1946,1963,Scots,2000,20002000,,0.095,JUNIOR PARTNER,false
200,United Kingdom,1946,1963,Asians,3000,20003000,,0.028,IRRELEVANT,
200,United Kingdom,1946,1963,Afro-Caribbeans,4000,20004000,,0.02,IRRELEVANT,
200,United Kingdom,1946,1963,Welsh,5000,20005000,,0.019,IRRELEVANT,
200,United Kingdom,1946,1963,Catholics In N. Ireland,6000,20006000,,0.012,DISCRIMINATED,false
200,United Kingdom,1946,1963,Protestants In N. Ireland,7000,20007000,,0.01,POWERLESS,true
200,United Kingdom,1964,1971,English,1000,20001000,,0.815,SENIOR PARTNER,false
200,United Kingdom,1964,1971,Scots,2000,20002000,,0.095,JUNIOR PARTNER,false
200,United Kingdom,1964,1971,Asians,3000,20003000,,0.028,IRRELEVANT,
200,United Kingdom,1964,1971,Afro-Caribbeans,4000,20004000,,0.02,IRRELEVANT,
200,United Kingdom,1964,1971,Welsh,5000,20005000,,0.019,JUNIOR PARTNER,false
200,United Kingdom,1964,1971,Catholics In N. Ireland,6000,20006000,,0.012,DISCRIMINATED,false
200,United Kingdom,1964,1971,Protestants In N. Ireland,7000,20007000,,0.01,POWERLESS,true
200,United Kingdom,1972,1997,English,1000,20001000,,0.815,SENIOR PARTNER,false
200,United Kingdom,1972,1997,Scots,2000,20002000,,0.095,JUNIOR PARTNER,false
200,United Kingdom,1972,1997,Asians,3000,20003000,,0.028,POWERLESS,false
200,United Kingdom,1972,1997,Afro-Caribbeans,4000,20004000,,0.02,POWERLESS,false
200,United Kingdom,1972,1997,Welsh,5000,20005000,,0.019,JUNIOR PARTNER,false
200,United Kingdom,1972,1997,Catholics In N. Ireland,6000,20006000,,0.012,POWERLESS,false
200,United Kingdom,1972,1997,Protestants In N. Ireland,7000,20007000,,0.01,POWERLESS,false
200,United Kingdom,1998,2013,English,1000,20001000,,0.815,SENIOR PARTNER,false
200,United Kingdom,1998,2013,Scots,2000,20002000,,0.095,JUNIOR PARTNER,true
200,United Kingdom,1998,2013,Asians,3000,20003000,,0.028,POWERLESS,false
200,United Kingdom,1998,2013,Afro-Caribbeans,4000,20004000,,0.02,POWERLESS,false
200,United Kingdom,1998,2013,Welsh,5000,20005000,,0.019,JUNIOR PARTNER,true
200,United Kingdom,1998,2013,Catholics In N. Ireland,6000,20006000,,0.012,POWERLESS,true
200,United Kingdom,1998,2013,Protestants In N. Ireland,7000,20007000,,0.01,POWERLESS,true
205,Ireland,1946,2013,Irish,1000,20501000,,1,IRRELEVANT,
210,Netherlands,1946,2013,Dutch,1000,21001000,,1,IRRELEVANT,
211,Belgium,1946,1969,Flemings,1000,21101000,,0.59,JUNIOR PARTNER,false
211,Belgium,1946,1969,Walloon,2000,21102000,,0.4,SENIOR PARTNER,false
211,Belgium,1946,1969,Germans,3000,21103000,,0.01,IRRELEVANT,
211,Belgium,1970,1972,Flemings,1000,21101000,,0.59,SENIOR PARTNER,false
211,Belgium,1970,1972,Walloon,2000,21102000,,0.4,SENIOR PARTNER,false
211,Belgium,1970,1972,Germans,3000,21103000,,0.01,IRRELEVANT,
211,Belgium,1973,1980,Flemings,1000,21101000,,0.59,SENIOR PARTNER,false
211,Belgium,1973,1980,Walloon,2000,21102000,,0.4,SENIOR PARTNER,false
211,Belgium,1973,1980,Germans,3000,21103000,,0.01,POWERLESS,true
211,Belgium,1981,2013,Flemings,1000,21101000,,0.59,SENIOR PARTNER,true
211,Belgium,1981,2013,Walloon,2000,21102000,,0.4,SENIOR PARTNER,true
211,Belgium,1981,2013,Germans,3000,21103000,,0.01,POWERLESS,true
220,France,1946,1961,French,1000,22001000,,0.976,MONOPOLY,
220,France,1946,1961,Basques,2000,22002000,,0.013,POWERLESS,false
220,France,1946,1961,Roma,4000,22004000,,0.006,DISCRIMINATED,false
220,France,1946,1961,Corsicans,3000,22003000,,0.004,IRRELEVANT,
220,France,1962,1991,French,1000,22001000,,0.976,MONOPOLY,
220,France,1962,1991,Basques,2000,22002000,,0.013,POWERLESS,false
220,France,1962,1991,Roma,4000,22004000,,0.006,DISCRIMINATED,false
220,France,1962,1991,Corsicans,3000,22003000,,0.004,POWERLESS,false
220,France,1992,2013,French,1000,22001000,,0.976,MONOPOLY,
220,France,1992,2013,Basques,2000,22002000,,0.013,POWERLESS,false
220,France,1992,2013,Roma,4000,22004000,,0.006,DISCRIMINATED,false
220,France,1992,2013,Corsicans,3000,22003000,,0.004,POWERLESS,true
225,Switzerland,1946,2013,Swiss Germans,1000,22501000,,0.622,SENIOR PARTNER,true
225,Switzerland,1946,2013,Swiss French,2000,22502000,,0.164,JUNIOR PARTNER,true
225,Switzerland,1946,2013,Swiss Italians,3000,22503000,,0.081,JUNIOR PARTNER,true
230,Spain,1946,1975,Spanish,1000,23001000,,0.68,DOMINANT,
230,Spain,1946,1975,Catalans,2000,23002000,,0.169,POWERLESS,false
230,Spain,1946,1975,Galician,3000,23003000,,0.06,POWERLESS,false
230,Spain,1946,1975,Basques,4000,23004000,,0.054,POWERLESS,false
230,Spain,1946,1975,Roma,5000,23005000,,0.019,DISCRIMINATED,false
230,Spain,1976,1978,Spanish,1000,23001000,,0.68,SENIOR PARTNER,
230,Spain,1976,1978,Catalans,2000,23002000,,0.169,JUNIOR PARTNER,false
230,Spain,1976,1978,Galician,3000,23003000,,0.06,JUNIOR PARTNER,false
230,Spain,1976,1978,Basques,4000,23004000,,0.054,POWERLESS,false
230,Spain,1976,1978,Roma,5000,23005000,,0.019,POWERLESS,false
230,Spain,1979,2013,Spanish,1000,23001000,,0.68,SENIOR PARTNER,
230,Spain,1979,2013,Catalans,2000,23002000,,0.169,JUNIOR PARTNER,true
230,Spain,1979,2013,Galician,3000,23003000,,0.06,JUNIOR PARTNER,true
230,Spain,1979,2013,Basques,4000,23004000,,0.054,JUNIOR PARTNER,true
